Method	version	sort			version	key
SedTank	-1	5			0	use the most current version of the code
Flocculator	-1	2			1 to xxxx	use this version of the code
LFOM	7470	3				
EtFlocSedFi	7494	4				
EtFlocSedFiLow	-1	1				
EtFlocSedFiHigh	-1	6			-1	don't use this method
EntTank	-1	7				
SRSF	7387	8			Use the sort column to rank the methods and then sort them. The order will define the order of the methods in the webpage	
AlumCdc	-1	9				
Box	-1	10				
ChlorineCdc	-1	11				
PaClCdc	-1	12				
CDCChemTanks	7424	13				
EtFlocSedFiLowpc479	7492	14				
LFOMTemp	0	15				
