Method	version	sort			version	key
EtFlocSedFiLow	-1	1			-1	don't use this method
EtFlocSedFi	7698	2			0	use the most current version of the code
Flocculator	-1	3			1 to xxxx	use this version of the code
SedTank	0	4				
SRSF	7510	5			Use the sort column to rank the methods and then sort them. The order will define the order of the methods in the webpage	
LFOM	7698	6				
Cdc	-1	7				
Box	-1	8				
EntTank	-1	9				
CDCChemTanks	7424	10				
EtFlocSedFiLowpc479	7492	11				
LFOMTemp	7698	12				
